customer_id,signup_date,region,acquisition_channel,age,newsletter_opt_in,loyalty_member,support_tickets_12m,avg_satisfaction_score,age_missing_flag,satisfaction_missing_flag,recency_days,frequency,monetary_total,avg_order_value,median_order_value,order_value_std,active_span_days,distinct_categories_purchased,return_rate,favourite_category,orders_via_mobile_app,orders_via_store,orders_via_web,never_purchased_flag,tenure_days,tenure_months,orders_per_tenure_month,spend_per_tenure_month,engagement_score,support_tickets_per_order
100000,2023-12-09,Wales,Referral,38.0,True,True,1,3.2,0,0,12.0,13.0,554.91,42.68538461538461,40.09,19.4047174742744,322.0,8.0,0.07692307692307693,Groceries,5.0,0.0,8.0,0,419,13.8,0.9420289855072463,40.210869565217386,2,0.07692307692307693
100001,2023-11-14,South West,Paid Search,37.0,True,False,0,4.4,0,0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,1,444,14.6,0.0,0.0,1,0.0
100002,2023-12-03,East Of England,Affiliate,39.0,True,False,5,3.5,0,0,21.0,28.0,1793.4,64.05,52.245,42.72049729215344,350.0,10.0,0.03571428571428571,Homeware,12.0,1.0,15.0,0,425,14.0,2.0,128.1,1,0.17857142857142858
100003,2025-01-24,West Midlands,Organic,41.0,False,False,1,3.9,1,1,17.0,1.0,33.43,33.43,33.43,0.0,0.0,1.0,0.0,Sports & Outdoors,0.0,0.0,1.0,0,7,0.2,1.0,33.43,0,1.0
100004,2023-02-09,West Midlands,Email,47.0,True,False,0,3.9,0,1,48.0,30.0,2169.18,72.306,75.57,33.962011495604706,341.0,10.0,0.13333333333333333,Groceries,13.0,3.0,14.0,0,722,23.7,1.2658227848101267,91.52658227848102,1,0.0
100005,2023-08-01,North East,Email,36.0,True,True,2,1.8,0,0,30.0,21.0,1223.94,58.28285714285715,58.11,23.96245190769449,365.0,10.0,0.047619047619047616,Fashion,7.0,3.0,11.0,0,549,18.0,1.1666666666666667,67.99666666666667,2,0.09523809523809523
100006,2025-01-24,North East,Email,23.0,True,False,1,3.0,0,0,28.0,1.0,32.66,32.66,32.66,0.0,0.0,1.0,0.0,Sports & Outdoors,0.0,0.0,1.0,0,7,0.2,1.0,32.66,1,1.0
100007,2024-09-16,North West,Email,38.0,True,False,3,2.8,0,0,36.0,5.0,224.38,44.876,48.51,22.19404492200554,93.0,5.0,0.0,Books & Media,1.0,0.0,4.0,0,137,4.5,1.1111111111111112,49.86222222222222,1,0.6
100008,2023-07-10,West Midlands,Paid Search,47.0,False,False,0,3.2,0,0,28.0,22.0,1685.16,76.59818181818183,73.64,32.22962680757946,353.0,10.0,0.045454545454545456,Toys & Kids,12.0,1.0,9.0,0,571,18.8,1.1702127659574468,89.63617021276596,0,0.0
100009,2024-01-02,Unknown,Paid Search,23.0,True,True,0,3.9,0,1,78.0,5.0,88.66,17.732,16.19,8.253963896213744,158.0,4.0,0.2,Electronics,2.0,1.0,2.0,0,395,13.0,0.38461538461538464,6.819999999999999,2,0.0
100010,2024-01-18,South West,Paid Search,49.0,False,False,1,3.9,0,1,161.0,2.0,6.1,3.05,3.05,0.07071067811865465,151.0,2.0,0.0,Homeware,0.0,0.0,2.0,0,379,12.5,0.16,0.488,0,0.5
100011,2023-11-08,North East,Email,56.0,False,False,1,3.1,0,0,20.0,17.0,929.23,54.66058823529412,48.31,21.625253602729217,362.0,7.0,0.0,Homeware,4.0,1.0,12.0,0,450,14.8,1.1486486486486487,62.78581081081081,0,0.058823529411764705
